"Sentence containing A,B,C,D",Annotator 1,Annotator 2,Annotator 3,Annotator 4,Binary,Mean
vulnerable is to hurt what fluid is to changed,0,0,0,0,0,0
brazen is to shame what oblivious is to awareness,0,0,0,0,0,0
mundane is to novel what rate is to prevalent,0,0,0,0,0,0
malinger is to work what hide is to discovery,0,0,0,0,0,0
apprehensive is to petrified what cheerful is to hilarious,0,0,0,0,0,0
best is to seller what hit is to song,0,0,0,0,0,0
yearn is to longing what enjoy is to pleasure,0,0,0,0,0,0
audible is to blaring what annoying is to obnoxious,0,0,0,0,0,0
legend is to map what key is to chart,0,0,0,0,0,0
recuperate is to surgery what revive is to faint,0,0,0,0,0,0
hapless is to lucky what rash is to prudent,0,0,0,0,0,0
worry is to panic what happiness is to bliss,0,0,0,0,0,0
terrestrial is to land what aquatic is to water,0,0,0,0,0,0
testimony is to witness what expertise is to authority,0,0,0,0,0,0
drapery is to fabric what window is to glass,0,0,0,0,0,0
condescending is to respect what merciless is to compassion,0,0,0,0,0,0
avenge is to wrong what reciprocate is to favor,0,0,0,0,0,0
precarious is to stability what susceptible is to resistance,0,0,0,0,0,0
querulous is to complain what deceitful is to cheat,0,0,0,0,0,0
animosity is to hatred what genial is to amiable,0,0,0,0,0,0
scissors is to cut what spice is to season,0,0,0,0,0,0
overdose is to prescription what indiscretion is to convention,0,0,0,0,0,0
neophyte is to experienced what invalid is to healthy,0,0,0,0,0,0
seedy is to elegant what luxurious is to spare,0,0,0,0,0,0
ruler is to line what compass is to circle,0,0,0,0,0,0
mystify is to understanding what nip is to maturation,0,0,0,0,0,0
encourage is to coerce what suggest is to command,0,0,0,0,0,0
journal is to article what anthology is to poem,0,0,0,0,0,0
devotion is to obsession what confidence is to conceit,0,0,0,0,0,0
pariah is to ostracism what idol is to adulation,0,0,0,0,0,0
ream is to paper what cord is to wood,0,0,0,0,0,0
rent is to property what hire is to employee,0,0,0,0,0,0
congeal is to solid what melt is to liquid,0,0,0,0,0,0
haiku is to poem what novel is to book,0,0,0,0,0,0
numb is to insensible what burnish is to lustrous,0,0,0,0,0,0
